VARIABLE,ï..TABLE,DROPDOWN,DESCRIPTION
TRAN_FUT_WHY_NOINTEREST,TRAN_FUT_WHY,Reasons for future land transfers,reasons for planning to sell or give away forestland in the next 5 years
TRAN_FUT_WHY_INV,TRAN_FUT_WHY,Reasons for future land transfers,reasons for planning to sell or give away forestland in the next 5 years
TRAN_FUT_WHY_OTH,TRAN_FUT_WHY,Reasons for future land transfers,reasons for planning to sell or give away forestland in the next 5 years
ATT_WOODED,ATT,Attitudes: land to stay wooded,to what extent the landowners agree that owners want their wooded land to remain wooded
ATT_SELL,ATT,Attitudes: willingness to sell,to what extent the landowners agree that owners would sell their land if offered a reasonable price
AGE,DEMO,Landowner age,age of primary owner
GENDER,DEMO,Landowner gender,gender of primary owner
EDUCATION,DEMO,Landowner education,highest degree or level of school of primary owner
RETIRED,DEMO,Landowner retirement status,whether or not primary owner is retired
HISPANIC,DEMO,Landowner ethnicity,whether or not primary owner is of Hispanic or Latino origin
RACE_INDIAN,DEMO,Landowner race,race of primary owner
RACE_ASIAN,DEMO,Landowner race,race of primary owner
RACE_BLACK,DEMO,Landowner race,race of primary owner
RACE_HAWAIIAN,DEMO,Landowner race,race of primary owner
RACE_WHITE,DEMO,Landowner race,race of primary owner
INC_WOOD_CAT,DEMO,Income from wooded land,percentage of annual income is derived from forestland (primary owner)
DISABILITY_BLIND,DEMO,Landowner disability: blindness / deafness,"whether or not primary owner has long-last blindness, deafness, or a severe vision or hearing impairment"
DISABILITY_MOBILITY,DEMO,Landowner disability: mobility,whether or not primary owner has a long-lasting condition that substantially limits mobility
